startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,<span style='color:#e3836a;'>First euthanasia case</span>,"<p class='lead' style='color:#F9F9F9;'>In this timeline, we’ll show the cases of euthanasia along the years.</p>",,,,,title,,https://images.theconversation.com/files/300825/original/file-20191108-10935-w4iaqq.jpg?ixlib=rb-1.1.0&q=45&auto=format&w=1200&h=900.0&fit=crop,#0b7c9c
1870,,,,1870,,,,,Samual Williams ,"<p>""An important milestone in the euthanasia debate was the isolation of morphine in the nineteenth century and its widespread use as an analgesic [a pain-relieving agent]... When the practice of analgesia had become reasonably well established, Samuel Williams, a nonphysician, began to advocate the use of these drugs not only to alleviate terminal pain but to intentionally end a patient's life..."" <p> <span class=""tl-note""> Williams' euthanasia proposal received serious attention in the medical journals and at scientific meetings </span> <a href=""https://euthanasia.procon.org/source-biographies/michael-manning/"">Michael Manning </a>",https://scx2.b-cdn.net/gfx/news/2017/euthanasiath.png,Medical press ,"James Gillray, Bleeding a Vein, circa 1804.",,picture,,,
1880,,,,1980,,,,,<span style='color:#e3836a;'>...100 years of developement later</span>,<p class='lead' style='color:#F9F9F9;'>Associations and discussions around the topic continue to be created. Support groups are founded but also groups fighting against the idea and its implementation.</p>,,,,,,,,#0b7c9c
1980,,,,1980,,,,,<span style='color:#e3836a;'>World Federation of Right to Die Societies</span>,"<p>The World Federation of Right to Die Societies was founded. Its membership included dozens of organizations from countries around the world that were concerned with euthanasia and the right to die.</p> <span class=""tl-note""><a href=""https://wfrtds.org/"">Check out their website</a>
",https://wfrtds.org/wp-content/uploads/2020/10/WFRtDS_logo_.png,WFRTDS,World Federation of Right to Die Societies Logo,,,,,
1997,6,26,,1997,6,26,,,<span style='color:#b32434;'>US Supreme Court Rules There is No Right To Die</span>,<p class='lead' style='color:#F9F9F9;'>The Supreme Court rules in Washington v. Glucksberg and Vacco v. Quill that there is not a constitutional right to die.</p>,https://www.supremecourt.gov/about/images/2021_Roberts_Court_Formal_131209_Web2.jpg,US Supreme Court,US Supreme Court Justices ,,picture ,,,#3c3c6c
2001,4,12,,2002,4,12,,,<span style='color:#24448c;'>Netherlands legalizes Euthanasia</span>,"<p> The Netherlands becomes the first European country, and the first country worldwide to officially legalize Euthanasia. </p> <span class=""tl-note"">There are various ways to intentionally expedite the end of life. Euthanasia is the most explicit and is performed only when the patient has clearly expressed the wish to die. The Netherlands has statutory rules and procedures for the termination of life on request.</span>","<iframe width=""100%"" height=""120"" src=""https://www.mixcloud.com/widget/iframe/?hide_cover=1&feed=%2FGuardianAudiolongreads%2Fmy-death-is-not-my-own-the-limits-of-legal-euthanasia-podcast%2F"" frameborder=""0"" ></iframe>",The Guardian,The limits of legal Euthanasia,,podcast,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/2560px-Flag_of_the_Netherlands.svg.png,
2008,2,19,,2009,3,12,,,<span style='color:#429BD2;'>Luxembourg Legalizes Euthanasia</span>,"<p>The most important part of the law is the guarantee that doctors performing active euthanasia or assisting to commit suicide will not be liable to prosecution. The condition for this is that the patient should be terminally ill and in insufferable pain, and should voluntarily, deliberately and repeatedly confirm in writing their desire to end their own life.</p> <span class=""tl-note"">Luxembourg was the third European Union member state and the third state worldwide to legalize euthanasia.</span>","https://www.google.com/maps/place/Council+of+State+of+Luxembourg/@49.6115101,6.1327614,17z/data=!3m1!4b1!4m5!3m4!1s0x47954f2d436d5b1f:0x992c658c45af2263!8m2!3d49.6115101!4d6.1349501",google map,where the law was passed,,map,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_Luxembourg.svg/2560px-Flag_of_Luxembourg.svg.png,
2014,2,13,,2014,3,2,,,<span style='color:#FFD700;'>Belgium's Removal of Age Restriction for Euthanasia</span>,"<p>On March 2, 2014, Belgium’s King Philippe signed into law an amendment to that country’s euthanasia law. Under this new law, a child who is terminally ill, who suffers from intolerable and inescapable physical pain, whose capacity for understanding and judgment (“capacité de discernement”) has been verified by a psychologist, and whose parents consent may request medically assisted suicide. </p> <span class=""tl-note"">Belgium became the world’s first country to lift all age restrictions on euthanasia.</span>",https://www.youtube.com/watch?v=hCRpuTRA7-g,SBS Dateline,going behind the most liberal euthanasia laws in the world,,picture,,https://www.publicdomainpictures.net/pictures/340000/nahled/national-flag-of-belgium-themes-design-1588672832gG8.jpg,
2015,2,,,2016,6,17,,,<span style='color:#DC143C;'>Physician-Assisted Suicide Becomes Legal in Canada</span>,"<p>On 17 June 2016, Bill C-14 to legalized and regulated assisted dying, which passed in Canada's Parliament. Strict rules govern access to assisted suicide. If they are not met, anyone who aids another person in killing themselves is guilty of a crime.  <a href=""https://en.wikipedia.org/wiki/Euthanasia_in_Canada"">Canada's law on assisted dying</a> does not allow advance directives, nor does it allow it for minors or people who are suffering from a mental illness. </p> ",https://www.americamagazine.org/sites/default/files/main_image/20150911cnsbr0601.jpg,CNS/Reuters,Assisted-suicide count In Canada challenged,,,,,
2018,1,26,,2018,1,26,,,<span style='color:#DC143C;'>Aurelia Brouwers dies by euthanasia</span>,"<p>In January a young Dutch woman drank poison supplied by a doctor and lay down to die. Euthanasia and doctor-assisted suicide are legal in the Netherlands, so hers was a death sanctioned by the state. But Aurelia Brouwers was not terminally ill - she was allowed to end her life on account of her psychiatric illness.</p> <span class=""tl-note"">check out her <a href=""https://www.instagram.com/aureliabrouwers/?hl=en"">Instagram</a></span>",https://www.youtube.com/watch?v=J1tLzHK5UWQ,,documentary of Aurelia Brouwers,,video,,,#4B0082
