startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,The Erasmus Experience,"<p class = ""lead"">In this timeline, you will get to learn about programme that was developed to support European student movility with the increasingly unified European system of higher education and why this experience is a once in a lifetime opportunity. </p>",,,,,title,,https://img.freepik.com/foto-gratis/vista-lateral-persona-que-sostiene-figurilla-avion-sobre-mapa_23-2148748634.jpg?t=st=1652949616~exp=1652950216~hmac=c4c82f78375dc9e76176531b20a39c89efebcdcbbb16b9f6f63abf9cc82c670c&w=1060,
1466,10,26,,1536,7,12,,,Erasmus of Rotterdam,"<p> Born in the danish city of <a href=""https://www.google.com/maps/place/R%C3%B3terdam,+Pa%C3%ADses+Bajos/@51.927903,4.3507457,11z/data=!3m1!4b1!4m5!3m4!1s0x47c5b7605f54c47d:0x5229bbac955e4b85!8m2!3d51.9244201!4d4.4777326"">Rotterdam</a>, Desiderius Erasmus Roterodamus was a Dutch philosopher and catholic theologian. At his time he was already considered one of the greatest scholars of the northern Renaissance. As a Catholic priest, he was an important figure in classical scholarship who wrote in a pure Latin style.</p><span class=""tl-note"">The European Community Network for Academic Exchanges is also called the Erasmus Programme in honor of the multinational and pro-European character of the humanist philosopher.</span>",https://upload.wikimedia.org/wikipedia/commons/3/30/Holbein-erasmus.jpg,Wikimedia Commons,"<a href=""https://upload.wikimedia.org/wikipedia/commons/3/30/Holbein-erasmus.jpg"">Portrait of Erasmus of Rotterdam</a>",,,,,
1958,,,,,,,,,Mamma Erasmus,"<p>In 1958, Sofía Corradi finished her university studies with a Master’s degree at <a href=""https://www.columbia.edu/"">Columbia University</a>, <a href=""https://www.google.com/maps/place/Nueva+York,+EE.+UU./@40.6971494,-74.2598655,10z/data=!3m1!4b1!4m5!3m4!1s0x89c24fa5d33f083b:0xc80b8f06e177fe62!8m2!3d40.7127753!4d-74.0059728"">New York</a>, which she was able to attend thanks to an exchange scholarship. But when she returned to Italy, her university refused to validate the exams she had done abroad. Corradi then decided to look for signatures by dozens of firms to get the compatibility of studies in the world. And not only that, but having experienced first-hand the profound and positive change that entails a cultural exchange, she began to devise a plan that would lay the seed for what would later become the Erasmus programme.</p>",https://brisaintercultural.org/wp-content/uploads/2021/04/Sofia-corradi-1024x768.jpg,,"<a href=""https://it.wikipedia.org/wiki/Sofia_Corradi"">Sofía Corridi</a>",,,,,#D23B05
,,,,2019,4,12,,,Sofía Corridi: laying the foundation of the experience,,"<blockquote>ErasmusPlus changes your personality, helps you develop critical thinking, and new ways of looking at others.<cite>Sofía Corridi, pioneer of the Erasmus experience</cite></blockquote>        ",,,,,,,#D23B05
1987,7,1,,,,,,,What is Erasmus? Erasmus programme: the beginning of the experience,"<p>The Erasmus Programme (EuRopean Community Action Scheme for the Mobility of University Students) is the European Union student exchange programme. 
1987 was the year the programme was put into work, with the intention of offering university students the opportunity to learn and enrich their knowledge by travelling and studying in other countries of the European continent.</p>",,,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Europe.svg/1200px-Flag_of_Europe.svg.png,
1988,,,,,,,,,Erasmus in Spain: First years,"<p>During its first year, the Erasmus programme involved 11 Member States: Belgium, Denmark, Germany, Greece, France, Ireland, Italy, the Netherlands, Portugal, Spain and the United Kingdom. 

A total of 3,244 students participated in that first year. The first Spanish students to leave Erasmus did so in 1988. One of them was Pedro Vidal-Aragon, who recounts his experience in this Facebook <a href=""https://www.facebook.com/comisioneuropea/videos/1217321664972697"">video</a>.

Every year more students and teachers benefited from the program and in 2002 the total number of million Erasmus students was reached since the project began in 1987.</p>",https://brisaintercultural.org/wp-content/uploads/2021/04/erasmus-1988-1024x1024.png,,First Spanish Erasmus promotion (1988-1989),,,,https://brisaintercultural.org/wp-content/uploads/2021/04/erasmus-1988-1024x1024.png,
2013,12,11,,,,,,,Erasmus+,"<p> What is Erasmus+?

Erasmus+ is the EU's programme to support education, training, youth and sport in Europe. The 2021-2027 programme places a strong focus on social inclusion, the green and digital transitions, and promoting young people’s participation in democratic life. It supports priorities and activities set out in the European Education Area, Digital Education Action Plan and the European Skills Agenda. The programme also,
<ul><li>Supports the European Pillar of Social Rights</li>
<li>Implements the EU Youth Strategy 2019-2027</li>
<li>Develops the European dimension in sport</li></ul>

Also, Erasmus+ offers mobility and cooperation opportunities in,

<ul><li>Higher education</li>
<li>Vocational education and training</li>
<li>School education (including early childhood education and care)</li>
<li>Adult education</li>
<li>Youth</li>
<li>and Sport</li></ul> </p>",https://fcsh.unizar.es/sites/fcsh.unizar.es/files/users/vdinter.teruel/icono_erasmus02.jpg,"<a href=""https://www.consilium.europa.eu/en/"">Council of European Union</a>",,,,,,#1167b1
1987,7,1,,,,,,,Objectives of Erasmus,"<p>The programme has some specific objectives, the general one being to support, through lifelong learning, the educational, professional and personal development of people in education, training, youth and sport, in Europe and beyond, thereby contributing to sustainable growth, quality jobs and social cohesion, to driving innovation, and to strengthening European identity and active citizenship.</p>",https://ayudas-subvenciones.es/blog/wp-content/uploads/2018/11/erasmus-programa-becas-erasmus-plus.jpg,"<a href=""https://ec.europa.eu/"">Europa.eu</a>",,,,,,#1167b1
1987,7,1,,,,,,,Objectives of Erasmus,"<p>On a more specific note, we have: 
<ul><li>Promote learning mobility of individuals and groups, as well as cooperation, quality, inclusion and equity, excellence, creativity and innovation at the level of organisations and policies in the field of education and training.</li>

<li>Promote non-formal and informal learning mobility and active participation among young people, as well as cooperation, quality, inclusion, creativity and innovation at the level of organisations and policies in the field of youth.</li>

<li>Promote learning mobility of sport staff, as well as cooperation, quality, inclusion, creativity and innovation at the level of sport organisations and sport policies.</li></ul></p>",,,,,,,,#1167b1
1987,7,1,,2022,5,27,,,Countries that take part in the program,"<p> When the programme started in 1987, there were only 11 countries taking part: Belgium, Denmark, Germany, Greece, France, Ireland, Italy, The Netherlands, Portugal, Spain, The United Kingdom. Since then, several countries have joined the programme. 
<ul><li>1988: Luxembourg</li>
<li>1992: Austria, Finland, Iceland, Norway, Sweden</li>
<li>1994: Liechtenstein</li>
<li>1998: Cyprus, Czech Republic, Hungary, Poland</li>
<li>1999: Bulgaria, Estonia, Latvia, Lithuania, Slovenia</li>
<li>2000: Malta</li>
<li>2004: Turkey</li>
<li>2009: Croatia</li>
<li>2014: The Former Yugoslav Republic of Macedonia</li>
<li>After 2014: North Macedonia, Republic of Turkey, Republic of Serbia</li></ul>

The rest of the countries are partnering countries.</p>",https://www.schengenvisainfo.com/news/wp-content/uploads/2020/12/erasmus-1.jpg,SchengenVisa,Erasmus+ Europe Countries,Erasmus+ Europe Countries,,,,
