startYear,startMonth,startDay,startTime,endYear,endMonth,endDay,endTime,displayDate,headline,text,mediaUrl,mediaCredit,mediaCaption,mediaThumbail,type,group,backgroundUrl,backgroundColor
,,,,,,,,,Oscars,,,,,,title,,,
1927,,,,,,,,,Birth of the Academy,"The Academy was first founded in 1927, but it didn't create the categories for the awards and, therefore, the ceremony we know today, until the year after",,,,,,,,
1929,5,16,,,,,,,The first Oscars in history,,https://www.youtube.com/watch?v=zXOlmo943Vc,,,,,,https://drraa3ej68s2c.cloudfront.net/wp-content/uploads/2020/01/07082647/eeaf9e7342a0d077a20f395dfcb8791e3d240e5afc2b69f74870afcac3979626.jpg,
1929,,,,,,,,Present,Oscars locations throughout the years,"These are some of the venues that have held the Academy Awards ceremony since it begun. As you can see, some are very close to each other. Maybe Hollywood stars don't like to move around a lot!",https://www.google.com/maps/d/u/0/edit?mid=1OvX0VOOqUPSL9MYQdbNK53l8gfepbP_l&usp=sharing,,,,,,,F3F3F3
1939,,,,,,,,,Leak prevention,"Up until this year, the press knew about the winners before they were announced in the ceremony. However, Los Angeles Times slipped up and printed the winners in an early evening edition; before the ceremony. From then onwards, the press wouldn't be given the names of the winners beforehand.",,,,,,,,A50104
1940,,,,,,,,,Hattie McDaniel becomes the first African American to win an Oscar,Hattie McDaniel was the first African American to be nominated and win an Oscar. She won best supporting actress for her role in Gone With the Wind.,https://imagenes.elpais.com/resizer/qsxAj7wecdr7eqeqe0iKHDvIbzw=/1960x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/AWS53AGFTVFTDORQCTOUPKEK2A.jpg,"From <a href=""https://imagenes.elpais.com/resizer/qsxAj7wecdr7eqeqe0iKHDvIbzw=/1960x0/cloudfront-eu-central-1.images.arcpublishing.com/prisa/AWS53AGFTVFTDORQCTOUPKEK2A.jpg"">imagenes.elpais</a>",Hattie McDaniel (1940) with Oscar plaque for best supprting actress,,,,,
1953,,,,,,,,,"Mom, I'm on TV!",This is the year in which the Academy Award were first televised on the US,https://www.hollywoodreporter.com/wp-content/uploads/2022/03/PBDSHBO_EC003.jpg,"From <a href=""https://www.hollywoodreporter.com/movies/movie-news/first-televised-oscars-academy-awards-full-show-rewatch-1235115714/""> Hollywood Reporter </a> ",The first ever televised Oscars,,,,,FCBA04
1969,,,,,,,,,International,"Since 1969, the Academy Awards ceremony has been broadcasted internationally. Only 16 years after its first televisation in the US!",https://www.oscars.org/sites/oscars/files/1968_streisand_bergman_0.jpg,"From <a href=""https://oscars.org/""> Oscars </a>",Barbra Streisand on the first ever internationally broadcasted Oscars,,,,,F3F3F3
1998,,,,,,,,,Titanic makes the history,,https://www.oscars.org/collection-highlights/titanic,"From <a href =""https://www.oscars.org/""> Oscars </a>","In 1998, Titanic not only won the best picture, but only other 10 awards, tie",,,,https://www.oscars.org/sites/oscars/files/styles/hero_image_default/public/titanic_main-banner_photo.jpg?itok=GZIylXj9,A50104
2002,,,,,,,,,[Black] Girls to the front!,"Halle Berry became the first black woman to win an Academy Award for Best Actress. She dedicated the honor to ""every nameless, faceless woman of color that now has a chance because this door tonight has been opened."" ",https://hips.hearstapps.com/es.h-cdn.co/fotoes/images/noticias-cine/decepcion-halle-berry-oscar/135110593-1-esl-ES/De-que-sirve-ganar-un-Oscar-Segun-Halle-Berry-de-nada.jpg,"From <a href=""https://www.fotogramas.es/noticias-cine/a19113249/decepcion-halle-berry-oscar/""> Fotogramas </a>",Halle Berry holding victoriously her statuette,,,,,590004
2009,,,,,,,,,Heath Ledger wins posthumous Oscar (2009),"After his sudden death at 28 from an accidental overdose of prescription medications, his family accepted his best supporting actor award, for his towering performance as the Joker in Batman movie The Dark Knight. ",https://www.hollywoodreporter.com/news/general-news/heath-ledger-wins-posthumous-oscar-79665/,dashfun.net,Heath Ledger as a Joker,,,,,
2014,,,,,,,,,Directors at the top,"Steve Mcqueen is the first African-American director to have a film win in the Best Picture category: ""12 Years a Slave"". Alfonso Cuarón became the first Latinx to win Best Directing, with his movie ""Gravity"". ",,,,,,,,
2020,2,9,,,,,,,A year to remember,Parasite became the first film in a language other than English to win Best Picture. Joaquin Phoenix was the second actor to win an Oscar for playing the Joker. ,https://media.gq.com/photos/5e417dc48208a40009e9abbe/master/pass/Bong-Joon-Ho-Oscars-GQ-2020-021020.jpg,"From <a href=""https://www.gq.com/story/oscars-2020-bong-joon-ho-recap""> DAVID SWANSON/EPA-EFE/Shutterstock </a>",Bong Joon-Ho having fun with his statuettes. They're kissing. Muac!,,,,,250001
2021,,,,,,,,,,,,,,,,,,
2022,,,,,,,,,,,,,,,,,,
